Keyword	Avg. monthly searches	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Searches: Mar 2022	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023	Searches: Apr 2023	Searches: May 2023	Searches: Jun 2023	Searches: Jul 2023	Searches: Aug 2023	Searches: Sep 2023	Searches: Oct 2023	Searches: Nov 2023	Searches: Dec 2023	Searches: Jan 2024	Searches: Feb 2024	Searches: Mar 2024	Searches: Apr 2024	Searches: May 2024	Searches: Jun 2024	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
formation en gestion de projet	5400	Medium	59	0.82587	3.166133	5400	3600	3600	4400	3600	4400	5400	5400	5400	4400	6600	5400	5400	5400	5400	5400	5400	5400	6600	6600	6600	5400	8100	8100	6600	6600	6600	8100	6600	5400	6600	9900	6600	5400	6600	8100	9900	8100	6600	6600	5400	4400	6600	4400	4400	3600	4400	5400
foundation of system thinking	10					0	10	10	50	50	10	10	10	10	10	10	10	10	10	10	10	10	0	10	0	10	10	0	0	0	10	10	0	0	0	10	10	10	0	0	10	0	0	0	10	10	0	10	0	0	0	0	0
foundations of project management by google	170	Medium	57	0.284345	3.502429	30	50	10	70	30	30	20	40	20	30	30	20	30	10	30	90	90	50	90	140	40	40	50	50	50	40	70	90	90	90	110	210	170	170	210	170	140	170	170	170	170	170	140	140	140	140	210	170
free online business management courses with certificate of completion	40	Low	5	0.763859	2.97	320	260	320	320	320	390	390	320	320	260	260	260	210	110	210	260	170	210	170	140	140	170	170	110	140	140	140	90	90	110	90	90	70	90	170	110	70	70	50	40	20	40	20	10	10	10	30	110
free online certificate courses in business administration	10	High	78	1.13	9.3	10	10	10	10	10	10	10	10	10	10	20	10	20	20	20	20	20	30	10	20	20	20	30	30	20	30	10	10	20	10	10	10	10	10	20	10	10	10	10	10	20	20	10	10	10	10	10	10
free online course on project management	2400	Medium	41	0.16571	3.203472	3600	2900	2900	2900	2900	3600	2900	2900	2900	2400	3600	3600	3600	2900	3600	3600	3600	3600	3600	3600	3600	4400	4400	3600	2900	3600	3600	3600	3600	2900	2900	3600	2900	2400	2900	2900	2900	2900	2900	2400	2400	1900	1900	1900	1600	1600	1900	2400
free online management courses with certificates	1300	Medium	33	0.28	3.79	1300	1000	1300	1000	1000	1300	1000	1000	1000	1000	1600	1600	2400	1600	1900	1900	1900	1900	1900	1900	1600	1600	1900	1900	1900	1900	1600	1600	1600	1600	1600	1300	1300	1000	1900	1300	1600	1600	1300	1000	1600	1000	2400	1300	880	880	1000	1600
free online project management course with certificate	260	Medium	38	0.103648	2.43	320	390	390	390	390	390	390	320	390	320	390	320	320	390	320	390	320	320	320	320	320	320	480	320	390	390	390	390	480	390	390	320	320	260	390	390	320	320	320	320	320	260	260	210	170	210	320	320
free project management courses	8100	Medium	48	0.195694	3.54	6600	5400	6600	6600	8100	8100	8100	8100	8100	6600	9900	8100	9900	8100	9900	9900	9900	9900	9900	9900	9900	9900	12100	12100	12100	12100	12100	12100	12100	9900	9900	9900	9900	8100	12100	9900	9900	9900	9900	8100	9900	8100	8100	8100	6600	5400	8100	8100
free project management courses with certificates	720	Medium	51	0.065341	1.99	480	390	480	390	390	390	320	260	260	260	480	320	390	480	590	720	880	880	880	880	880	880	1300	880	880	880	880	1000	1300	1300	1900	1300	720	720	1000	1000	1000	880	880	880	880	720	720	590	390	320	390	480
free software engineering courses with certificate	30	Medium	63	0.037314	0.91	10	10	10	10	10	20	40	30	50	50	40	40	30	40	50	40	40	20	50	20	30	10	30	20	10	20	20	20	30	30	40	40	30	20	30	30	30	20	30	20	30	40	30	40	40	30	30	30
free ux design course with certificate	90	Medium	51	0.089358	2.75	40	30	10	40	70	70	70	70	70	70	90	70	70	70	110	210	260	260	170	170	110	170	210	210	90	110	210	170	260	210	110	110	140	90	210	110	140	110	110	50	70	70	90	70	70	70	50	70
freecodecamp courses	2900	Low	32	0.147974	1.298461	1000	1000	1300	1600	1600	1600	1900	1600	1600	1600	2400	2400	2900	2900	2900	3600	3600	3600	4400	3600	2900	2400	3600	2900	2900	2400	2400	2900	18100	12100	2900	2400	2400	2900	4400	2900	2900	2400	2400	2400	3600	3600	3600	2900	2900	3600	3600	2900
freecodecamp courses with certificate	210	Medium	45	0.179039	0.85	70	70	70	140	110	110	140	140	110	110	140	170	170	210	260	390	320	210	320	260	210	260	210	210	210	260	260	170	320	260	210	170	170	210	170	110	170	170	260	320	390	170	170	140	140	140	140	140
freecodecamp full stack certification	170	Low	9	0.471633	3.093744	40	30	50	40	70	40	20	10	30	90	90	90	70	70	70	20	70	40	40	50	20	30	10	20	10	10	10	20	20	30	40	70	70	50	70	50	70	40	40	50	90	70	720	70	210	170	260	480
geeksforgeeks courses	1600	Low	31	0.199918	0.8108	1600	1600	1300	1600	1600	1900	1600	1600	1300	1300	1600	1000	1000	1000	1000	1300	1600	1300	1000	1000	880	1000	1900	1600	1300	1300	1600	2400	4400	2900	1900	1300	1300	1300	1600	1600	1600	1900	1600	4400	2400	1600	1300	880	1000	1900	1300	880
global it certifications	480	Low	8	0.25	1.16	20	10	30	20	20	10	20	10	20	10	20	20	30	40	20	30	20	30	10	20	20	20	20	20	20	30	30	50	30	30	320	590	260	390	590	2900	590	260	320	390	480	480	480	390	210	720	720	1000
google career certificate program	720	Low	19	0.1254	1.39	480	590	1000	720	480	480	480	480	260	260	260	210	320	320	480	320	390	480	480	320	210	260	210	210	260	210	260	390	170	170	210	210	390	210	480	320	390	390	590	590	1300	590	590	720	590	1000	880	880
google certificate courses	9900	Medium	40	0.200336	2.92335	18100	18100	22200	40500	33100	27100	27100	22200	22200	18100	22200	14800	22200	22200	27100	33100	27100	27100	22200	18100	18100	14800	18100	18100	14800	14800	14800	18100	18100	12100	12100	9900	9900	9900	12100	9900	9900	9900	12100	12100	12100	9900	8100	8100	8100	8100	8100	8100
google certificate project management	720	Medium	50	0.838952	9.3529	1300	1300	1600	1600	1300	1300	1300	1300	1000	1000	1600	1300	1600	1300	1900	1600	1600	1300	1300	1300	1300	1600	1900	1600	1600	1600	1600	1600	1300	1300	1000	1000	880	1600	1600	880	1000	880	880	1000	880	880	720	590	590	480	590	590
google cybersecurity professional certificate	27100	Low	24	0.283478	4.969327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18100	18100	18100	14800	14800	14800	14800	14800	14800	14800	14800	14800	14800	14800	22200	18100	22200	18100	22200	18100	27100	18100	22200	22200	27100	27100	33100	27100	27100	27100	27100	22200	27100	40500
google it support professional certificate	33100	Low	29	0.605769	11.052422	18100	14800	18100	18100	22200	22200	18100	18100	14800	14800	22200	14800	18100	14800	22200	22200	18100	22200	22200	18100	14800	14800	18100	14800	14800	14800	14800	14800	18100	22200	22200	18100	22200	18100	22200	22200	22200	22200	27100	33100	40500	40500	27100	33100	27100	27100	33100	33100
google it support professional certificate coursera	1900	Low	18	0.419724	6.96	140	170	170	170	140	170	170	140	110	90	140	140	140	140	170	170	140	170	170	140	170	260	320	210	210	210	210	210	170	210	260	320	320	320	480	590	1300	880	1000	1600	8100	5400	1300	1300	1000	1300	1300	1600
google management certificate	390	Low	18	0.495009	6.789351	260	320	320	320	260	320	320	320	320	210	260	260	260	260	260	260	210	210	260	260	880	2400	1000	2900	2400	2400	1900	2900	2400	1300	880	590	590	390	590	480	390	390	390	390	390	390	390	320	390	320	390	480
google product management course	1000	Medium	56	0.3759	2.600914	1000	1300	1300	1300	1300	1300	1300	1000	1000	880	1300	1000	1000	1000	1300	1300	1300	1600	1300	1300	1300	1300	1600	1600	1600	1300	1300	1300	1900	1300	1600	1000	1000	880	1000	1000	1000	1000	1000	1000	1300	1300	1000	1000	1000	1000	1000	880
google project management certificate	27100	Medium	39	0.740811	10.557263	18100	18100	22200	22200	22200	22200	18100	18100	14800	18100	22200	18100	18100	18100	22200	18100	18100	18100	14800	14800	40500	60500	40500	60500	49500	49500	40500	60500	49500	33100	33100	33100	22200	18100	27100	18100	22200	22200	22200	27100	40500	40500	33100	27100	27100	22200	33100	27100
google project management certificate coursera	1300	Low	22	0.655995	7.232047	210	210	210	210	390	390	260	260	260	210	260	260	260	210	210	170	170	170	140	140	170	170	170	210	170	210	140	140	210	170	170	210	260	210	320	320	480	880	1300	1600	1600	1000	1000	1000	720	1000	1600	1900
google project management certification	6600	Medium	54	0.277658	3.033686	5400	5400	6600	6600	8100	8100	6600	5400	5400	6600	5400	4400	5400	5400	5400	5400	6600	6600	5400	5400	18100	33100	14800	33100	22200	22200	14800	18100	14800	9900	12100	6600	8100	6600	8100	6600	6600	6600	6600	6600	8100	6600	5400	5400	5400	5400	5400	5400
google project management certification free	1900	Low	33	0.166061	4.92	210	170	260	260	480	720	590	590	720	720	1000	720	880	720	720	880	1000	1000	880	880	1900	4400	2900	5400	4400	4400	3600	4400	4400	2400	2900	2400	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1600	1300	1300	1600	1600	1600
google project management course	2400	Medium	47	0.365039	4.88	3600	3600	3600	3600	4400	4400	3600	3600	3600	3600	4400	3600	4400	3600	6600	4400	5400	4400	3600	3600	3600	4400	4400	3600	3600	2900	2900	2400	3600	2900	2400	1900	1900	2400	3600	2400	1900	2400	2400	2400	2400	2400	1900	2400	1900	1900	2900	1900
google project management coursera	1000	Medium	47	0.466368	3.745777	1300	1300	1600	1900	2400	2400	2400	1900	2400	1900	2400	2400	2900	2400	2900	2900	2900	2400	1900	1900	1900	2400	1600	1600	1300	1300	1000	1300	1300	1300	1300	1300	1300	1000	1600	1600	1300	1300	1600	1600	1600	1000	1000	880	720	880	1000	880
google project management professional certificate	8100	Low	29	0.637577	7.59	4400	4400	5400	5400	5400	5400	5400	5400	5400	4400	5400	4400	5400	4400	4400	4400	6600	6600	6600	8100	6600	9900	9900	8100	6600	6600	6600	5400	4400	4400	5400	4400	4400	4400	6600	5400	5400	5400	6600	6600	8100	8100	9900	9900	8100	6600	8100	12100
google project management professional certificate reddit	140	Low	4	1.881518	17.822428	90	90	140	110	110	140	140	140	110	140	170	140	170	140	140	140	170	170	170	170	140	170	210	170	170	170	140	170	170	170	170	140	90	110	170	140	140	170	170	170	140	110	170	140	110	110	140	110
great learning academy	18100	Medium	38	0.203714	2.33	18100	14800	27100	40500	33100	33100	40500	33100	33100	40500	60500	49500	49500	49500	60500	74000	74000	74000	60500	49500	49500	49500	74000	74000	60500	60500	60500	60500	74000	49500	40500	33100	27100	22200	22200	18100	18100	14800	18100	18100	22200	22200	22200	18100	18100	18100	22200	18100
grokking system design	3600	Medium	42	0.318595	2.383084	5400	4400	3600	3600	5400	4400	3600	2900	2900	2900	3600	2900	2400	1900	1900	1900	2400	2400	2900	2900	3600	3600	4400	4400	4400	4400	4400	3600	4400	4400	4400	4400	4400	3600	3600	3600	4400	3600	3600	3600	3600	3600	3600	2900	3600	2900	3600	2900
grow google certificate	4400	Medium	42	0.259527	3.93809	60500	74000	40500	90500	40500	33100	33100	18100	18100	18100	18100	9900	14800	18100	22200	22200	27100	40500	27100	14800	12100	22200	14800	18100	22200	12100	8100	6600	12100	6600	6600	5400	5400	8100	8100	4400	5400	6600	6600	4400	5400	4400	3600	2900	3600	2400	2400	1900
grow google certificates cybersecurity	22200	High	68	0.136266	1.221105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	70	70	50	20	20	10	20	20	30	20	20	10	10	30	10	10	10	10	1000	320	27100	49500	49500	27100	40500	18100	8100	5400	12100	5400	6600	2400
grow with google	33100	Medium	36	0.29135	3.45	110000	49500	74000	60500	49500	60500	60500	49500	40500	33100	33100	27100	33100	40500	49500	40500	49500	40500	33100	33100	33100	33100	40500	27100	60500	49500	49500	33100	33100	40500	40500	33100	27100	33100	40500	33100	27100	27100	33100	40500	33100	40500	33100	33100	27100	27100	33100	27100
grow with google courses	880	Low	9	0.199544	2.636663	880	590	880	1000	880	1000	880	880	720	590	720	590	720	720	880	720	880	880	590	480	320	480	590	590	880	720	720	590	480	480	320	320	260	390	590	480	390	320	390	590	720	480	480	1600	2900	390	720	1300
handbook of model based systems engineering	40	Medium	57	2.643443	7.88	20	70	30	20	40	40	10	30	30	30	30	20	70	40	40	20	170	210	170	110	110	90	140	90	90	70	70	70	40	40	50	40	40	50	70	30	70	40	50	30	40	30	30	40	40	40	50	40
hansen leadership program	170	Low	23	0.8836	5.47	10	10	10	10	10	10	210	170	140	210	480	70	20	10	90	10	20	70	260	320	170	210	390	50	10	20	10	10	10	10	20	260	210	320	390	40	10	10	10	10	10	10	90	210	480	390	720	70
harvard edx	5400	Low	29	0.21	2.277448	5400	4400	5400	5400	5400	6600	5400	5400	4400	4400	6600	5400	6600	5400	5400	8100	22200	9900	6600	6600	5400	4400	6600	5400	5400	5400	5400	5400	5400	5400	5400	5400	4400	4400	5400	4400	5400	5400	6600	8100	6600	6600	5400	4400	4400	4400	5400	4400
harvard mit online courses	30	Medium	42	0.457758	4.44	50	70	50	70	50	70	50	50	40	50	50	50	50	50	70	40	40	50	50	40	40	40	50	50	70	70	40	50	70	50	40	40	40	30	40	30	40	40	30	30	30	70	30	40	20	20	40	20
harvard online courses	33100	Medium	45	0.558393	4.15588	33100	33100	33100	33100	33100	33100	40500	33100	40500	40500	49500	40500	40500	40500	40500	40500	49500	49500	40500	40500	40500	33100	49500	49500	40500	40500	40500	49500	60500	40500	40500	49500	74000	49500	40500	33100	40500	33100	49500	40500	33100	33100	33100	27100	22200	27100	27100	22200
harvardx	14800	Medium	35	0.306463	3.042392	14800	12100	14800	14800	12100	14800	14800	12100	12100	12100	18100	14800	33100	27100	18100	18100	18100	18100	12100	14800	12100	14800	22200	14800	18100	14800	22200	33100	22200	18100	14800	33100	18100	18100	22200	18100	27100	18100	22200	18100	14800	18100	14800	12100	9900	9900	14800	9900
high certificate in business management	1000	Medium	39	0.278917	1.928544	390	320	390	390	390	480	390	480	390	260	1000	880	590	480	590	590	590	480	480	480	590	480	1600	1000	590	880	880	720	880	720	590	720	590	390	1900	1000	590	720	880	880	720	1000	880	1000	880	590	2400	1300
how can i become a web designer	1000	Medium	44	0.808731	9.291863	2900	2900	2900	2900	2900	2900	2900	2900	2400	2900	2900	2900	2900	2900	2900	2400	2900	2400	2400	2400	2400	2400	2900	2400	2400	2400	2400	2900	2400	2400	1900	1900	2900	3600	4400	1900	1900	1600	1600	1300	1000	1000	1000	880	880	720	880	720
how can i get pmp certification	4400	Medium	63	0.950566	6.185866	4400	3600	4400	3600	3600	4400	3600	3600	2900	2900	4400	4400	4400	4400	4400	4400	4400	5400	4400	5400	4400	4400	5400	5400	5400	5400	5400	5400	5400	5400	5400	5400	4400	4400	6600	5400	5400	5400	5400	4400	5400	4400	5400	4400	3600	3600	4400	4400
how to apply for massachusetts institute of technology	1300	Low	29	0.442913	2.4	880	1000	880	1300	1600	1900	1300	1600	1000	1600	1000	720	1000	880	1000	1300	1300	1900	1300	1300	1000	1600	1300	1000	1000	1300	1600	1300	1300	1900	1600	1600	1900	1600	1300	880	1000	1000	1300	1300	1300	1900	1600	1600	1300	1600	1300	720
how to be a software developer	1000	Low	28	0.306021	6.902346	1900	1900	1900	1900	1900	1900	1900	1900	1600	1600	2400	1900	1900	1900	1900	1900	1900	1600	1900	1600	1600	1600	1900	1600	1600	1300	1600	1600	1600	1300	1300	1000	1000	1000	1300	1300	1300	1300	1300	1300	1000	880	1000	880	720	720	880	720
how to be good at problem solving	170	Low	8	0.126365	1.135967	320	320	390	260	320	320	390	390	480	320	320	320	320	260	260	260	320	320	390	320	320	260	390	390	320	320	260	260	210	210	260	260	260	170	210	210	260	260	210	170	140	140	170	170	140	140	140	140
how to become a better strategist	50	Low	30	1.070638	5	110	90	90	90	110	170	110	70	90	90	70	50	90	70	50	70	70	90	70	70	90	70	90	70	90	50	70	50	90	70	40	50	50	70	70	50	70	50	40	50	50	50	40	40	40	50	40	40
how to become a it specialist	90	Medium	49	1.833635	28.929952	110	90	90	90	90	110	110	110	140	110	140	110	110	140	140	110	110	140	110	110	90	110	140	140	140	110	90	110	90	170	110	90	90	90	90	90	90	110	90	90	90	90	110	70	70	70	90	90
how to become a strategic thinker	140	Medium	56	0.554785	5.158504	140	140	110	90	140	110	140	140	170	90	140	140	170	140	140	110	140	140	170	140	210	210	210	170	210	140	170	140	170	110	110	110	110	110	170	170	140	140	110	110	170	110	140	140	110	140	110	110
how to become a systems engineer without a degree	10	Low	13	2.99	11.5	70	70	50	40	50	40	50	50	50	40	70	70	70	90	110	70	70	70	40	50	40	20	50	40	20	10	20	30	30	20	20	30	10	10	20	20	10	10	10	10	10	20	10	20	10	10	10	20
how to become a tech expert	40	Medium	54	0.18	1.380215	50	50	70	50	70	70	50	70	70	70	90	70	70	70	90	70	90	70	70	90	70	70	110	90	70	90	90	70	70	70	50	70	50	50	70	30	70	50	50	50	40	30	30	40	50	30	30	20
how to create a system	390	Low	13	0.419448	5.18	480	390	390	480	390	480	480	480	480	480	590	590	590	480	480	390	390	480	480	390	480	390	590	590	480	480	480	480	390	480	480	390	390	390	480	390	480	320	480	320	390	390	390	390	390	390	480	390
how to design a scalable system	10	Low	27			30	20	30	20	30	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	10	20	10	10	10	10	10	30	20	20	10	10	10	20	20	10	10	20	20	10	20	10	10	10	10
how to develop my critical thinking skills	20	Medium	38	0.241635	2.72434	40	30	20	20	20	30	30	40	40	20	20	30	40	30	40	20	20	40	30	50	30	20	30	30	30	40	20	20	20	20	40	20	20	30	30	10	20	30	20	20	10	20	20	40	30	20	20	20
how to develop problem solving skills	720	Low	10	0.087489	3.246976	1300	1000	1300	1000	1000	1000	1300	1300	1300	1000	1300	1300	1600	1300	1300	1300	1300	1000	1300	1300	1300	1000	1300	1300	1300	1300	1300	1000	1000	1000	1000	1000	1000	880	1000	720	1000	880	880	880	720	590	720	720	720	590	590	480
how to do csm certification	20	Medium	48	0.275037	1.330146	30	30	30	20	30	30	30	30	30	20	30	30	20	20	40	20	30	20	20	20	30	20	30	20	20	30	30	30	20	20	20	10	10	20	20	20	20	20	40	10	20	20	10	10	20	20	10	10
how to do framework	50	Low	1			110	90	90	90	70	70	70	110	140	70	110	90	110	110	90	90	90	90	90	110	110	70	70	110	110	110	70	50	50	70	70	70	50	50	90	50	90	50	40	30	50	50	90	70	50	40	40	40
how to gain problem solving skills	260	Low	7	0.18	1.472208	390	390	390	480	480	390	480	480	390	480	480	480	480	390	480	390	480	480	480	480	480	390	480	480	480	390	480	480	480	390	480	390	320	390	390	320	390	320	320	320	320	320	260	260	210	260	260	210
how to get into product management	720	Medium	42	0.923862	5.489399	1000	1000	1000	1000	1000	1000	1000	1000	880	720	1000	880	880	880	880	880	880	1000	1000	1000	880	880	1300	1000	1000	1000	1000	1000	1000	1000	1000	1000	720	720	880	880	880	720	880	720	720	720	720	720	590	590	720	590
how to improve critical thinking	2900	Low	15	0.108286	2.51238	3600	3600	3600	2900	2900	2900	4400	3600	4400	3600	3600	3600	4400	3600	3600	2900	2900	2900	3600	3600	3600	3600	4400	3600	3600	3600	3600	2900	2900	3600	4400	3600	3600	2900	3600	3600	3600	2900	2900	2900	2400	2400	2900	2400	2400	1900	2900	2400
how to improve logical thinking skills	170	Low	16	0.023547	1.268463	70	40	30	50	50	110	50	50	110	50	50	50	70	70	70	70	90	90	50	50	50	50	70	50	70	70	70	70	90	110	70	110	110	210	170	170	170	170	210	260	260	210	140	140	170	140	170	140
how to improve problem solving skills	1900	Low	5	0.178259	2.29	3600	2900	3600	2900	2400	2900	3600	3600	3600	2900	2900	2900	3600	2900	2900	2900	2400	2900	2900	3600	2900	2400	2900	3600	3600	2900	2900	2400	2400	2400	2400	2900	2400	1900	2400	2400	2400	1900	1900	1900	1600	1600	1600	1600	1300	1300	1900	1900
how to improve your logic building skills in programming	10	Low	31			40	10	10	20	10	30	20	10	20	30	20	20	10	30	20	10	20	20	10	10	10	20	20	20	20	10	20	20	20	20	10	30	20	20	20	10	10	10	10	10	10	20	10	10	10	10	10	10
how to increase critical thinking	480	Low	15	0.029543	1.81	480	390	390	390	320	480	480	480	480	480	480	480	480	390	390	390	390	480	590	480	480	590	720	590	590	590	590	590	590	590	590	590	480	390	480	590	590	390	480	480	480	480	480	390	390	390	390	390
how to learn it at home	10	Medium	60	0.232977	10.54	70	30	40	50	70	70	70	90	90	50	90	70	70	50	50	30	40	50	30	30	30	30	50	30	20	20	30	20	30	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
how to learn problem solving skills	170	Low	17	0.11	2.184766	260	170	170	210	170	210	260	260	210	170	210	210	260	210	210	210	260	260	260	260	260	260	260	260	320	260	260	260	260	260	260	210	210	170	210	210	210	210	210	210	170	210	140	140	110	140	170	90
how to learn system design	390	Low	23	0.160957	1.8	320	320	320	320	320	320	390	320	260	260	320	260	260	320	260	260	320	390	320	390	320	320	390	390	390	390	390	390	480	390	390	320	320	320	390	390	320	390	390	390	480	480	390	390	480	390	590	590
how to learn systems thinking	40	Medium	53	0.995547	6	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	30	10	10	10	10	20	20	20	10	10	10	20	10	10	10	20	20	20	10	20	10	20	10	20	20	30	20	30	40	70	40	70	50
how to learn tech skills	90	Medium	66	0.189185	3.62	70	90	90	70	140	110	90	90	110	90	260	140	140	140	140	140	140	170	140	70	70	90	90	110	140	140	140	110	90	90	110	140	140	140	170	90	140	110	90	90	110	90	70	90	90	70	110	70
how to learn to think strategically	70	Medium	63	0.599452	5.025	110	70	50	40	50	70	70	50	50	70	50	50	50	50	50	30	40	50	70	50	40	50	50	90	70	70	90	70	90	70	90	90	70	90	90	90	70	70	70	70	90	50	70	70	70	50	70	70
how to solve algorithm problems	70	Low				260	210	170	210	260	260	320	260	210	210	260	210	170	170	210	170	170	170	260	210	90	110	170	140	110	140	140	110	110	140	210	170	110	90	110	90	70	70	70	70	70	70	70	70	70	50	50	30
how to study it online	40	High	70	0.583446	2.589271	30	30	30	20	30	20	20	20	20	20	40	30	30	30	30	40	50	70	70	70	50	20	70	50	40	30	50	30	40	30	40	50	30	30	30	30	30	40	40	30	30	30	30	50	40	20	50	40
how to think in systems	90	Medium	59	0.29	3.75	40	30	30	40	20	30	30	30	30	40	40	40	20	40	40	20	40	40	30	40	40	50	50	30	50	40	30	40	40	50	20	30	20	30	70	50	50	50	40	210	90	70	90	70	70	110	90	140
how to think logically	590	Low	10	0.070893	3.271995	1300	1000	1000	1000	1000	1300	1300	1000	1300	1000	1000	1000	1300	1000	1000	1000	1000	1000	1000	1300	1000	1000	1300	1000	1000	1000	880	880	880	880	880	880	720	720	880	720	720	590	720	590	590	590	720	590	480	480	590	480
how to train problem solving skills	50	Low	20	0.360616	2.49966	90	50	70	50	70	70	70	70	70	70	50	70	70	50	70	70	70	70	70	110	90	70	90	90	70	70	90	50	50	90	70	70	50	70	70	50	50	70	40	70	50	40	50	40	40	50	50	50
howard cs50	10	Low	22	0.609292	11.376982	10	10	10	10	20	10	20	20	10	20	20	10	10	10	20	30	20	30	30	110	30	30	10	10	10	10	20	40	30	30	20	30	20	10	20	20	10	10	10	10	20	10	10	10	10	30	10	10
hp certification courses	210	Low	28	0.07052	0.59	110	90	90	110	140	170	110	70	90	90	140	110	110	90	50	140	210	260	210	170	90	50	110	70	90	210	140	210	70	110	210	320	210	260	90	170	90	110	110	210	210	210	260	210	210	320	260	260
hris systems training	140	Low	30	3.021436	15.935526	260	210	260	260	260	320	210	210	170	170	260	210	260	170	210	170	170	170	140	210	170	170	210	210	210	140	170	210	170	170	260	170	140	140	480	170	170	140	140	170	140	140	170	90	70	70	110	170
https learning upskillist com vodacom2	110	Medium	45	0.451709	1.806631	0	0	0	0	0	0	0	0	0	0	0	0	110	10	110	50	30	50	70	70	40	70	90	40	30	30	10	0	10	10	10	320	30	10	10	40	170	260	90	110	90	70	90	70	90	70	50	110
https ocw mit edu	210	Medium	33	0.55	3.372176	50	70	50	50	40	70	70	110	90	50	70	70	70	70	90	90	70	140	140	110	90	70	70	110	90	90	90	70	110	140	210	320	260	260	320	170	170	170	170	260	320	320	320	210	260	210	170	260
https www edx org	590	Low	23	0.315777	3.289844	390	590	320	320	260	320	320	390	320	210	320	480	320	480	390	390	390	320	320	390	320	260	320	320	390	390	590	320	320	390	320	390	260	320	480	390	880	720	1900	720	590	390	390	320	390	260	320	480
https www harvard edu online courses	10	Medium	57			10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	20	10	0	10	10	10	10	10	10
hubspot crm courses	30	Low	15	0.139925	1.36	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	30	10	20	30	20	30	20	20	20	20	20	20	20	10	10	30	20	30	30	20	30	40	30	30	40	50	70	30	40
human centered systems thinking	110	Medium	36	2.91	6	320	260	110	70	70	170	170	140	170	140	390	90	170	170	210	140	170	590	480	390	320	320	480	260	170	260	210	390	210	170	210	170	170	210	210	170	140	140	110	140	110	170	110	90	140	70	90	90
i want to learn it	70	Low	23	0.435818	11.623839	40	70	70	70	50	50	50	50	40	50	90	50	50	70	50	50	50	70	70	50	50	50	50	70	50	50	70	50	70	70	50	50	40	50	70	40	70	50	70	90	70	50	50	50	50	50	70	90
i want to learn programming	480	Medium	55	0.157098	2.178589	480	480	590	590	590	590	480	480	480	480	480	480	480	590	590	590	590	590	480	480	480	480	480	390	390	390	480	590	480	390	390	590	590	390	480	390	390	390	390	480	590	480	480	480	390	480	480	480
ibf funded courses systems thinking cpd hours	10					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ibm courses	12100	Medium	36	0.122897	1.90673	8100	6600	8100	8100	9900	9900	9900	8100	8100	8100	9900	8100	9900	8100	9900	9900	12100	14800	12100	9900	9900	9900	14800	14800	12100	12100	9900	12100	27100	22200	14800	12100	12100	12100	14800	14800	12100	12100	12100	14800	14800	14800	12100	12100	9900	9900	12100	12100
ibm online courses	590	Medium	49	0.135648	2.45209	590	590	590	720	880	880	720	720	720	720	720	720	880	720	720	720	880	720	720	720	590	590	720	720	590	720	720	720	720	590	590	590	480	590	590	590	720	480	590	720	720	590	590	480	480	480	480	390
ibm skill build	135000	Low	7	0.233527	2.396607	9900	9900	9900	9900	12100	14800	14800	14800	18100	14800	18100	22200	27100	22200	27100	33100	33100	49500	60500	49500	49500	74000	60500	135000	110000	49500	60500	60500	74000	74000	74000	74000	74000	74000	90500	90500	110000	74000	90500	135000	201000	165000	201000	135000	135000	165000	165000	135000
ibm skillsbuild certificate	590	Low	17	0.199103	2.3	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30	70	50	90	70	50	90	70	70	70	110	140	210	210	210	260	260	260	210	260	170	210	260	320	390	880	880	880	720	590	720	880	880
iceberg model of systems thinking	110	Low	1			90	140	110	90	50	90	110	110	140	90	140	140	170	170	140	110	140	170	140	210	140	110	140	170	170	140	110	110	110	90	210	210	140	90	90	110	140	70	70	50	70	110	140	170	140	110	90	140
